0;kenia lopes;0;25/03/2011;0;8º ano;2;717.141.607-06
1;tamiris riale vidigal azevedo;0;19/10/2018;0;1º ano;5;891.069.927-74
2;zé martins guimaraes mourao;0;07/03/2013;0;6º ano;2;113.107.106-59
3;rodrigo mateus correa;0;22/09/2015;1;4º ano;5;373.985.833-94
4;mateus rodrigues braga;0;20/06/2013;0;6º ano;2;335.996.019-47
5;patrus caroline da silva;0;27/08/2018;0;1º ano;2;027.337.818-59
6;israela gustavo;0;29/07/2012;0;7º ano;1;093.588.376-06
7;graziele henrique barbosa bahia fritzsons;0;19/05/2019;0;1º período;6;626.372.901-48
8;luara vasconcelos lima;0;16/05/2010;0;9º ano;2;976.539.181-63
9;natalícia a oliveira dos santos;0;17/01/2019;0;2º período;1;497.958.554-94
10;david emiliano campolina de araújo;0;30/07/2011;0;8º ano;2;904.416.681-35
11;cleizer da cunha coelho;0;29/06/2013;0;6º ano;2;524.609.147-10
12;flávia pereira soares;0;16/01/2013;0;6º ano;2;793.206.063-62
13;patrícia sofal costa;0;15/11/2016;0;3º ano;1;251.448.959-08
14;adriana silva rabello;0;20/07/2019;0;2º período;1;062.174.992-69
15;gabriela fernandes guimaraes;0;14/03/2013;0;6º ano;2;107.147.470-38
16;maria cristiane prestes da costa;0;31/03/2011;1;8º ano;1;242.433.933-63
17;matheus brito de oliveira;0;17/02/2010;0;9º ano;2;616.106.299-11
18;izabella ferraz;0;03/05/2017;0;2º ano;3;746.284.401-90
19;andressa do vale ramalho filho;0;15/01/2019;0;1º período;4;940.200.554-38
20;eduardo aparecida dos santos;0;13/03/2015;0;4º ano;7;565.309.428-69
21;patrick guilherme soares pinto;0;02/03/2017;0;2º ano;1;216.377.613-07
22;paulo borges miguel;0;05/11/2011;0;8º ano;2;616.652.480-14
23;valéria alex batista de sousa;0;03/12/2017;0;2º ano;1;233.035.979-17
24;hercílio mariano borges de figueiredo;0;17/11/2012;0;7º ano;2;764.156.131-72
25;hugo víctor de pinho (pp);0;30/08/2019;0;1º período;1;979.520.892-90
26;matheus guimarães;0;06/10/2013;1;6º ano;1;113.492.665-01
27;liliane cristina de souza soares;0;06/08/2019;0;1º período;1;129.485.642-25
28;regina dias alves;0;28/04/2019;0;1º período;5;544.200.451-30
29;livia conde alves;0;25/03/2019;0;2º período;1;036.627.877-83
30;lorena paula rodrigues sanches;0;27/05/2019;0;1º período;5;758.631.893-16
31;luciana kennedy de morais filho;0;23/01/2019;0;2º período;6;995.100.064-95
32;fabiana teresa fonseca moreira;0;29/05/2011;0;8º ano;2;742.716.982-92
33;ana silva;0;05/11/2015;1;4º ano;1;423.833.851-94
34;glenda de almeida andrade;0;04/03/2018;0;1º ano;5;139.544.227-60
35;rodrigo batista costa;0;27/07/2019;0;1º período;3;908.342.886-32
36;lucas paula rodrigues sanches;0;29/09/2013;1;6º ano;1;555.470.208-83
37;carlos gomes vieira;0;08/11/2016;1;3º ano;6;960.234.215-22
38;beatriz henrique pereira venâncio;0;22/02/2014;1;5º ano;2;253.473.947-00
39;renata ferreira msuricio;0;12/11/2011;0;8º ano;2;100.953.098-79
40;lorena angelica;0;12/04/2019;0;1º período;1;972.316.339-45
41;gabriela a oliveira dos santos;0;19/12/2016;0;3º ano;1;978.320.580-00
42;josé cristina gomes soares;0;17/03/2019;0;1º período;7;845.204.514-10
43;marie salimena silva;0;06/05/2011;0;8º ano;1;766.161.168-22
44;maurício andre ribeiro valim;0;30/01/2017;1;2º ano;2;390.290.506-53
45;maysa trigo matos;0;03/03/2014;0;5º ano;2;988.766.151-61
46;patricia carlos rocha;0;12/03/2017;0;2º ano;1;041.871.122-23
47;daniel augusto oliveira silva;0;17/04/2013;1;6º ano;2;502.127.249-49
48;lina luíza ferreira cavalcanti;0;28/02/2017;0;2º ano;6;287.602.528-58
49;cecília roberto da costa;0;14/08/2019;0;2º período;5;063.155.613-54
50;eloina delgado;0;09/03/2012;0;7º ano;2;988.725.856-82
51;jean patrícia ferreira;0;14/11/2011;0;8º ano;1;891.957.601-40
52;marina patrícia ferreira;1;19/09/2019;0;2º período;7;099.602.094-18
53;emília gabriela teixeira paula;0;05/10/2011;0;8º ano;2;296.555.891-11
54;jhonathas matias de almeida;0;11/01/2011;0;8º ano;2;927.336.607-97
55;welder junio amaral;0;12/12/2013;0;6º ano;1;717.839.104-65
56;maria lopes lima naves;0;09/01/2019;0;2º período;1;742.482.147-84
57;lavínia de oliveira coradi;0;16/06/2012;0;7º ano;2;933.449.405-53
58;nágilla rodrigues braga;0;17/05/2016;1;3º ano;1;999.680.345-88
59;lara cristina de souza soares;0;04/06/2014;0;5º ano;1;115.828.935-49
60;clara antunes ramos;0;18/07/2015;0;4º ano;2;919.232.244-48
61;vanessa luce tavares;0;16/03/2012;0;7º ano;2;615.796.184-33
62;beatriz polycarpo da cruz;0;11/10/2015;0;4º ano;3;993.139.186-46
63;mariana gonçalves pereira;0;23/12/2011;0;8º ano;2;267.184.891-38
64;thaynara rose hawryliszyn e silva;0;09/06/2010;0;9º ano;2;946.843.603-58
65;julio marcelo freitas;0;14/09/2019;0;2º período;1;337.598.370-85
66;padre ferraz;0;16/08/2019;0;1º período;1;475.695.873-36
67;ana delgado coelho;0;28/10/2013;0;6º ano;1;254.013.497-08
68;ludimila marina dos anjos bonifácio;0;17/10/2013;0;6º ano;1;388.753.526-68
69;ludimila cristina dos santos;0;30/06/2019;0;1º período;1;869.078.336-69
70;josé wallace milord amorim;0;29/11/2019;1;1º período;2;025.695.997-94
71;maria alves matos;0;04/08/2019;0;2º período;1;255.399.349-41
72;emília de souza costa;0;01/07/2010;1;9º ano;2;527.139.538-77
73;linnikar luíza ferreira cavalcanti;0;28/11/2016;0;3º ano;1;623.754.921-01
74;gabriela sampaio de aquino;0;06/07/2019;0;2º período;7;946.039.526-87
75;max vitória reis vitalino;0;03/11/2019;0;1º período;1;310.537.241-46
76;joão miranda;0;09/08/2019;0;2º período;1;595.883.035-44
77;lyla ferreira msuricio;0;27/05/2019;0;2º período;5;152.757.521-60
78;liliane caiafa moreira lopes de faria;0;20/09/2014;0;5º ano;1;445.417.494-76
79;nádia delgado coelho;0;18/06/2010;0;9º ano;1;823.914.395-23
80;doutor sérgio marques godinho;0;13/05/2012;1;7º ano;1;482.408.206-07
81;hugo miranda da silva;0;24/07/2016;0;3º ano;1;768.177.572-35
82;adriano munck do nascimento;1;21/05/2015;0;4º ano;1;732.364.332-70
83;marco batista azevedo;0;23/12/2019;0;2º período;7;416.011.142-81
84;aleksey henrique pereira venâncio;0;04/10/2011;0;8º ano;2;757.149.036-68
85;edsonia gonçalves de souza;0;22/11/2019;0;1º período;1;472.316.235-52
86;tamiris costa souza;0;11/02/2010;0;9º ano;2;168.190.562-18
87;gabriel balbino colpa;0;30/05/2013;0;6º ano;1;994.617.189-00
88;flávia álvaro antônio;0;25/07/2015;0;4º ano;7;310.709.246-67
89;vanderlei silva;0;23/10/2018;0;1º ano;2;732.023.797-62
90;jenniffer de almeida andrade;0;16/03/2016;0;3º ano;4;400.835.258-43
91;alice rodrigues soares;0;07/01/2019;1;2º período;1;518.651.047-76
92;ameilto aparecido damião peixoto;0;06/12/2018;0;1º ano;1;944.488.761-50
93;joene grace cavalcanti macedo;0;20/01/2015;0;4º ano;5;800.409.064-71
94;natália oliveira valadares;0;11/07/2017;0;2º ano;1;256.292.177-33
95;nayara da silva freitas;0;09/02/2012;0;7º ano;1;267.513.352-19
96;tainá mitraud;0;08/10/2019;0;1º período;7;784.285.840-72
97;anny william de sousa portugal;0;06/11/2014;0;5º ano;2;998.889.176-17
98;tays luce tavares;0;24/11/2017;0;2º ano;1;554.182.112-63
99;laissa coutinho ribeiro;0;22/10/2015;1;4º ano;4;118.610.824-06
100;aldanny varella;0;04/05/2017;0;2º ano;2;812.186.002-48
101;artur josé rodrigues;0;02/04/2019;1;2º período;6;333.119.264-93
102;ivan vitor;0;09/09/2019;0;2º período;6;982.636.063-31
103;mauricio josé de castro agostinho;0;24/06/2019;1;2º período;1;305.525.583-65
104;mireille woyames duarte coelho;0;26/05/2010;0;9º ano;1;766.341.111-03
105;renata de oliveira coradi;0;01/10/2019;0;1º período;1;559.549.731-74
106;saulo sepini gomes;0;18/12/2013;1;6º ano;2;792.441.955-65
107;michele de assis maciel;0;24/07/2019;0;2º período;1;677.353.000-80
108;vinicius de fatima menezes costa;0;06/03/2017;0;2º ano;1;417.416.948-47
109;ana aparecida andrade ferreira;0;29/02/2012;0;7º ano;1;404.296.072-88
110;fabio almeida martins de souza;0;19/05/2016;0;3º ano;6;691.038.984-17
111;sidney sá santos de araújo;0;15/12/2016;0;3º ano;4;231.399.658-60
112;vania riale vidigal azevedo;0;17/01/2010;0;9º ano;1;086.992.922-55
113;ana arruda soares;0;24/07/2016;0;3º ano;5;950.485.308-53
114;edward azevedo silveira;0;12/08/2019;0;2º período;2;501.839.666-61
115;iolanda renato mello de paula;0;05/09/2011;0;8º ano;1;937.992.782-54
116;marina beatriz souza alves;0;17/11/2012;0;7º ano;1;329.221.854-66
117;cláudia fernando de mesquita;0;09/10/2019;1;1º período;2;530.572.525-85
118;matheus araújo russo carvalho;0;10/08/2013;0;6º ano;1;037.104.224-31
119;bia neiva costa;0;04/08/2017;1;2º ano;1;601.792.482-59
120;lorenna luiz toledo de miranda;1;25/03/2019;0;2º período;1;485.804.565-33
121;angelica fernando queioste petrin;0;13/02/2019;0;1º período;5;353.073.349-92
122;patricia karla portes beserra;0;02/01/2015;0;4º ano;3;181.430.330-25
123;lucas rezende;0;29/04/2018;0;1º ano;7;695.697.013-44
124;virgínia marina oliveira valadares;0;06/11/2019;0;1º período;1;726.866.530-52
125;juliane de lemos sales;0;25/06/2017;1;2º ano;3;290.480.417-14
126;cristina alves sanches;0;05/09/2015;0;4º ano;6;678.886.911-84
127;pedro edinesio de campos;0;06/11/2015;0;4º ano;1;870.441.084-74
128;fred marciano dos reis;0;08/01/2019;0;1º período;1;928.738.182-93
129;helder latado sudario;0;19/01/2017;0;2º ano;1;113.274.597-68
130;maria c. costa;0;26/11/2017;1;2º ano;2;056.155.502-74
131;vicente faria mello;0;15/02/2018;1;1º ano;1;148.927.869-93
132;lígia silva;0;04/01/2014;0;5º ano;1;541.489.368-89
133;ângela salimena oliveira;0;26/06/2019;1;2º período;1;493.894.899-74
134;hercílio câmara nogueira;0;30/08/2011;0;8º ano;1;327.825.324-38
135;iano henrique ferreiro;0;24/11/2014;0;5º ano;2;133.246.768-26
136;sara fontana;0;28/09/2011;0;8º ano;1;067.118.305-61
137;cláudia cartafina;0;24/09/2012;1;7º ano;2;958.110.877-79
138;carla brígido jácome da costa;0;02/06/2017;0;2º ano;7;215.136.499-90
139;cleizer riscifina;0;09/04/2016;0;3º ano;7;897.106.700-10
140;vanessa paulo diniz maia;0;19/07/2017;1;2º ano;3;109.514.321-79
141;pedro augusto santos de oliveira;0;20/05/2013;0;6º ano;2;909.160.186-94
142;karine jenner de faria;0;06/03/2016;1;3º ano;6;763.665.462-20
143;luis gomes ferreira;0;27/04/2019;0;2º período;5;805.893.130-17
144;angela serra;0;30/01/2011;0;8º ano;2;463.852.297-51
145;bruna varella;0;04/12/2016;0;3º ano;3;823.954.787-35
146;taís barros tiburcio;0;25/03/2018;0;1º ano;7;475.424.693-93
147;ana sepini gomes;0;19/07/2019;0;1º período;3;884.054.640-66
148;laura kayra pinto de paula;0;23/05/2012;0;7º ano;1;654.399.666-62
149;joão daniela de oliveira;0;28/05/2018;0;1º ano;1;464.168.716-59
150;maria nogueira reis jordy;0;02/09/2015;0;4º ano;1;012.733.149-29
151;miguel batista de jesus;0;01/03/2018;1;1º ano;3;275.226.947-54
152;raphaella bueno nascimento;0;21/01/2014;0;5º ano;1;917.944.128-87
153;ana augusto;0;15/06/2011;0;8º ano;1;064.169.443-59
154;rodrigo martins freitas;0;24/02/2015;0;4º ano;6;874.996.049-21
155;fabricio fernanda rocha da silva;0;01/04/2019;0;2º período;4;844.092.506-29
156;sandra mundim;0;07/11/2017;1;2º ano;1;770.868.882-76
157;leticia medeiros barroso;0;16/04/2019;0;2º período;4;888.390.901-27
158;rodrigo da costa santos;0;31/08/2019;0;1º período;1;874.721.572-21
159;hugo frederico;0;03/02/2018;0;1º ano;1;569.406.759-43
160;laura fernandes magalhães;0;01/06/2018;0;1º ano;2;364.162.479-33
161;matheus salimena silva;0;01/01/2015;0;4º ano;1;744.040.734-51
162;calebe ramalho;0;02/03/2010;0;9º ano;2;396.893.181-07
163;francielle guerra;0;31/08/2019;0;2º período;4;506.371.052-91
164;ana souza ferreira;0;02/10/2017;0;2º ano;2;406.623.483-02
165;juliane peres morato gonçalves;0;26/01/2016;0;3º ano;1;747.056.944-80
166;amanda torres quintão;0;25/11/2013;0;6º ano;1;927.789.794-33
167;joão silva araújo;0;16/06/2011;0;8º ano;2;914.016.312-19
168;george josé ribeiro da fonseca;0;29/09/2019;1;1º período;6;505.324.644-37
169;mariana célia medeiros;0;01/06/2019;0;2º período;4;988.964.842-11
170;julio silva;0;19/06/2014;1;5º ano;1;140.323.069-76
171;wenceslau timo;0;13/12/2010;1;9º ano;2;879.654.032-08
172;fabio fernando matos rocha;0;19/09/2012;0;7º ano;1;549.809.744-45
173;raphael ramalho;0;03/09/2015;0;4º ano;1;339.240.181-23
174;pedro schwartz vitório;0;01/05/2010;0;9º ano;2;477.970.177-54
175;ellen clara de castro;0;24/04/2019;0;1º período;7;130.951.503-64
176;ana lucas canuto da silva;0;18/11/2013;0;6º ano;2;743.784.928-97
177;léo dutra medeiros;0;12/03/2016;1;3º ano;1;610.213.848-17
178;ana dias de carvalho;0;12/05/2015;0;4º ano;5;797.876.947-42
179;gabriela xavier ramos;0;16/03/2013;0;6º ano;1;923.784.412-00
180;andressa pereira souza;0;17/02/2018;1;1º ano;1;934.579.030-94
181;helena vinicius neto silva;0;26/01/2019;0;1º período;1;410.169.274-59
182;brenda alves brandão;0;20/07/2012;0;7º ano;2;754.875.000-19
183;lavínia rita de souza;0;08/06/2012;0;7º ano;1;960.592.521-94
184;katia aparecida dos santos;0;17/03/2010;0;9º ano;1;201.588.466-80
185;eduardo jackson de souza;0;30/05/2013;0;6º ano;1;935.603.158-63
186;onésio oliveira severino;0;31/03/2011;0;8º ano;1;277.902.624-78
187;ana augusto oliveira silva;0;22/09/2014;0;5º ano;1;321.095.352-66
188;joene antonino de lima amaral;0;10/04/2019;1;2º período;1;871.266.347-83
189;cleuller monteiro silva q;0;07/08/2017;0;2º ano;1;646.253.951-29
190;nágilla borges ramos;0;12/07/2013;0;6º ano;1;088.699.298-36
